periodo,tipo_exam,descripcion,link
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área C y D Valle,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_valle_ordinario_CD.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área A Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_huamachuco_ordinario_A.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_huamachuco_ordinario_B.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área D Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_huamachuco_ordinario_D.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Samtiago de Chuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_stgo_ordinario_B.txt
ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_excelencia_trujillo.txt
ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_discapacitados_trujillo.txt
ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_victimas_trujillo.txt
ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_excelencia_valle.txt
ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_excelencia_huamachuco.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Trujillo Área A,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_trujillo_A.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Trujillo Área B,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_trujillo_B.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Trujillo Área C y D,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_trujillo_CD.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_valle_A.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_valle_B.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_valle_CD.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Huamachuco Área A,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_huamachuco_A.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Huamachuco Área B,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_huamachuco_B.txt
ADMISION 2022-I,CEPUNT,Resultados Cepunt Huamachuco Área C y D,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_huamachuco_CD.txt
ADMISION 2022-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_ordinario_A.txt
ADMISION 2022-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_ordinario_B.txt
ADMISION 2022-I,ORDINARIO,Resultados Ordinario Área C y D Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_ordinario_CD.txt
