id_result,periods,test_type,details,link
83,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Valle,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_valle_ordinario_B.txt
84,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área C y D Valle,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_valle_ordinario_CD.txt
85,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área A Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_huamachuco_ordinario_A.txt
86,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_huamachuco_ordinario_B.txt
87,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área D Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_huamachuco_ordinario_D.txt
88,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Samtiago de Chuco,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_stgo_ordinario_B.txt
89,ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_excelencia_trujillo.txt
90,ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_discapacitados_trujillo.txt
91,ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_victimas_trujillo.txt
92,ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_excelencia_valle.txt
93,ADMISIÓN 2021-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,http://admisionunt.info/docs/padrones/20212/20212_extraordinario/20212_excelencia_huamachuco.txt
94,ADMISION 2022-I,CEPUNT,Resultados Cepunt Trujillo Área A,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_trujillo_A.txt
95,ADMISION 2022-I,CEPUNT,Resultados Cepunt Trujillo Área B,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_trujillo_B.txt
96,ADMISION 2022-I,CEPUNT,Resultados Cepunt Trujillo Área C y D,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_trujillo_CD.txt
97,ADMISION 2022-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_valle_A.txt
98,ADMISION 2022-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_valle_B.txt
99,ADMISION 2022-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_valle_CD.txt
100,ADMISION 2022-I,CEPUNT,Resultados Cepunt Huamachuco Área A,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_huamachuco_A.txt
101,ADMISION 2022-I,CEPUNT,Resultados Cepunt Huamachuco Área B,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_huamachuco_B.txt
102,ADMISION 2022-I,CEPUNT,Resultados Cepunt Huamachuco Área C y D,http://admisionunt.info/docs/padrones/20221/20221_cepunt/20221_cepunt_huamachuco_CD.txt
103,ADMISION 2022-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_ordinario_A.txt
104,ADMISION 2022-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_ordinario_B.txt
